coupling_function,coupling_parameter,alpha,window_mode,device_count,run_index,run_id,expected_packets,actual_packets,successful_packets,raw_send_packets,simultaneous_collision_count,overall_per_percent,ttu_cycle,max_convergence_cycle,mingap_convergence_cycle,aux_mean_convergence_cycle,max_converged,mingap_converged,aux_mean_converged,final_10_cycle_new_mean_abs_dev,final_10_cycle_new_max_abs_dev,final_10_cycle_min_gap_median,epsilon_tolerance_rad,minimum_collision_free_gap_rad,carrier_sense_duration_ms,airtime_ms,occupied_time_ms,backoff_retry_total,retry_exhausted_abandon_total,initial_20_cycle_loss_rate_percent,final_20_cycle_loss_rate_percent,final_minus_initial_20_cycle_loss_rate_percent,csma_w0_ms,csma_w_max_ms,csma_max_retries
CSMA_CA,0,0,fixed_anchor,5,40,csma_ca_0040,900,900,900,900,0,0.0,10.0,1.0,1.0,1.0,True,True,True,0.5237663272064903,1.1272034441080188,0.5566902182161115,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,41,csma_ca_0041,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,1.0158654004647956,2.0407785877719293,0.13697343969651588,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,42,csma_ca_0042,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.8806512526542909,2.050831684263417,0.10932742434492482,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,43,csma_ca_0043,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,1.0786972535365913,2.6967431338414785,0.06785840131754028,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,44,csma_ca_0044,900,900,900,900,0,0.0,10.0,1.0,1.0,1.0,True,True,True,0.441330935976294,0.7778583410288327,0.4787787204070846,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,45,csma_ca_0045,900,900,900,900,0,0.0,11.0,,1.0,1.0,False,True,True,0.943985760550661,2.3599644013766534,0.06157521601035931,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,1.0,-1.0,-2.0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,46,csma_ca_0046,900,900,900,900,0,0.0,10.0,1.0,1.0,1.0,True,True,True,0.8087716127401563,1.1359999035380692,0.3933274002294418,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,47,csma_ca_0047,900,900,900,900,0,0.0,10.0,1.0,1.0,1.0,True,True,True,0.7353840083522989,1.043008760991811,0.268920331147287,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,48,csma_ca_0048,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,1.0002831009029904,2.500707752257476,0.4611858015469812,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,49,csma_ca_0049,900,898,898,898,0,0.2222222222222222,10.0,,,1.0,False,False,True,0.898672119613064,1.7366724189044376,0.02261946710584639,1.224537524338598,0.03209953709731907,5,20.544,25.544,346,2,0.0,0.0,0.0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,0,csma_ca_0000,900,898,898,898,0,0.2222222222222222,11.0,1.0,,1.0,True,False,True,0.8187210054412191,1.2028450631426852,0.015079644737231002,1.224537524338598,0.03209953709731907,5,20.544,25.544,280,2,2.0,0.0,-2.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,1,csma_ca_0001,900,900,900,900,0,0.0,10.0,,,1.0,False,False,True,0.9710811556277521,1.6813803882012586,0.025132741228718114,1.224537524338598,0.03209953709731907,5,20.544,25.544,221,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,2,csma_ca_0002,900,897,897,897,0,0.3333333333333333,10.0,,,,False,False,False,1.3214795338060106,3.3036988345150258,0.005026548245743889,1.224537524338598,0.03209953709731907,5,20.544,25.544,367,3,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,3,csma_ca_0003,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,1.045019380290109,2.612548450725272,0.0791681348704627,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,4,csma_ca_0004,900,900,900,900,0,0.0,10.0,1.0,1.0,1.0,True,True,True,0.5378406622945724,1.1900352971798136,0.7527255998001143,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,5,csma_ca_0005,900,900,900,900,0,0.0,10.0,1.0,1.0,1.0,True,True,True,0.46244243860841766,0.6936636579126262,0.5629734035232912,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,6,csma_ca_0006,900,896,896,896,0,0.4444444444444444,10.0,,,,False,False,False,1.2958441377527181,2.2041414057585995,0.011309733552923085,1.224537524338598,0.03209953709731907,5,20.544,25.544,330,4,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,7,csma_ca_0007,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.831893734670577,2.0797343366764425,0.5441238476017523,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,8,csma_ca_0008,900,900,900,900,0,0.0,10.0,,1.0,,False,True,False,1.2938335184544205,2.932990901391431,0.05654866776461631,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,9,csma_ca_0009,900,900,900,900,0,0.0,10.0,1.0,1.0,1.0,True,True,True,0.49159641843373086,0.8230972752405252,0.433539786195392,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,10,csma_ca_0010,900,900,900,900,0,0.0,10.0,1.0,1.0,1.0,True,True,True,0.5494017232597831,1.1510795482753011,0.33677873246482637,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,11,csma_ca_0011,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,1.0867397307297817,2.716849326824453,0.03895574890451314,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,12,csma_ca_0012,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.8585344403730186,1.6725839287712063,0.11309733552923257,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,13,csma_ca_0013,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.6579751653678463,1.4564423542042284,0.5227610175573414,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,14,csma_ca_0014,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.7655432978267609,1.9138582445669023,0.35311501426349245,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,15,csma_ca_0015,900,900,900,900,0,0.0,10.0,1.0,1.0,1.0,True,True,True,0.6624990587890156,0.9650972631827841,0.5328141140488287,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,16,csma_ca_0016,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.7580034754581451,1.572052963856332,0.5252742916802138,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,17,csma_ca_0017,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.8409415215129158,1.2779998914803279,0.07916813487046337,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,18,csma_ca_0018,900,900,900,900,0,0.0,11.0,,1.0,1.0,False,True,True,0.8705981561628036,2.176495390407009,0.05403539364174481,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,1.0,-1.0,-2.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,19,csma_ca_0019,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.774088429844525,1.5921591568393076,0.34557519189487707,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,20,csma_ca_0020,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.8424494859866393,2.1061237149665986,0.047752208334565616,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,21,csma_ca_0021,900,900,900,900,0,0.0,10.0,1.0,1.0,1.0,True,True,True,0.6026831346646657,1.1736990153811462,0.2890265241302612,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,22,csma_ca_0022,900,900,900,900,0,0.0,10.0,1.0,1.0,1.0,True,True,True,0.386038905273114,0.5692565888304708,0.7652919704144734,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,23,csma_ca_0023,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.8570264758992957,2.1425661897482398,0.3292389100962103,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,24,csma_ca_0024,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.7429238307209144,1.6298582686823848,0.4737521721613409,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,25,csma_ca_0025,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.9922406237098004,1.8133272796520288,0.06283185307179551,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,26,csma_ca_0026,900,900,900,900,0,0.0,11.0,1.0,1.0,1.0,True,True,True,0.7876601101080329,1.0191326568245287,0.23750440461138833,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,1.0,-1.0,-2.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,27,csma_ca_0027,900,899,899,899,0,0.1111111111111111,10.0,,,1.0,False,False,True,1.2169273302945425,2.288336088874806,0.010053096491487779,1.224537524338598,0.03209953709731907,5,20.544,25.544,331,1,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,28,csma_ca_0028,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,1.2083821982767782,1.8811856809695686,0.1281769802664634,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,29,csma_ca_0029,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,1.1440423807312592,2.6339112807696834,0.0640884901332317,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,30,csma_ca_0030,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.5840849061554144,1.4602122653885363,0.7087433026498573,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,31,csma_ca_0031,900,900,900,900,0,0.0,10.0,1.0,1.0,1.0,True,True,True,0.6499326881746562,1.2076282160399163,0.04900884539600092,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,32,csma_ca_0032,900,900,900,900,0,0.0,10.0,1.0,1.0,1.0,True,True,True,0.4709875706261813,1.0580884057290416,0.19854865570687563,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,33,csma_ca_0033,900,900,900,900,0,0.0,11.0,,1.0,1.0,False,True,True,0.7675539171250583,1.4149733311768427,0.27394687939303,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,1.0,-1.0,-2.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,34,csma_ca_0034,900,900,900,900,0,0.0,10.0,,,,False,False,False,1.5597379206542605,3.899344801635651,0.012566370614359279,1.224537524338598,0.03209953709731907,5,20.544,25.544,303,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,35,csma_ca_0035,900,900,900,900,0,0.0,10.0,,,1.0,False,False,True,0.9982724816046925,2.4956812040117313,0.013823007675794585,1.224537524338598,0.03209953709731907,5,20.544,25.544,308,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,36,csma_ca_0036,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,1.0234052228334112,2.5585130570835277,0.4410796085640074,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,37,csma_ca_0037,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.8354123184425978,1.9339644375498763,0.33803536952626256,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,38,csma_ca_0038,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.9852034561657591,2.4630086404143974,0.14953981031087427,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,39,csma_ca_0039,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.9605733697616152,2.4014334244040385,0.3154159024204153,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,40,csma_ca_0040,900,900,900,900,0,0.0,10.0,1.0,1.0,1.0,True,True,True,0.5237663272064903,1.1272034441080188,0.5566902182161115,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,41,csma_ca_0041,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,1.0158654004647956,2.0407785877719293,0.13697343969651588,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,42,csma_ca_0042,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.8806512526542909,2.050831684263417,0.10932742434492482,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,43,csma_ca_0043,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,1.0786972535365913,2.6967431338414785,0.06785840131754028,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,44,csma_ca_0044,900,900,900,900,0,0.0,10.0,1.0,1.0,1.0,True,True,True,0.441330935976294,0.7778583410288327,0.4787787204070846,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,45,csma_ca_0045,900,900,900,900,0,0.0,11.0,,1.0,1.0,False,True,True,0.943985760550661,2.3599644013766534,0.06157521601035931,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,1.0,-1.0,-2.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,46,csma_ca_0046,900,900,900,900,0,0.0,10.0,1.0,1.0,1.0,True,True,True,0.8087716127401563,1.1359999035380692,0.3933274002294418,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,47,csma_ca_0047,900,900,900,900,0,0.0,10.0,1.0,1.0,1.0,True,True,True,0.7353840083522989,1.043008760991811,0.268920331147287,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,48,csma_ca_0048,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,1.0002831009029904,2.500707752257476,0.4611858015469812,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,49,csma_ca_0049,900,900,900,900,0,0.0,10.0,,,1.0,False,False,True,0.8942343291682496,1.7366724189044376,0.02261946710584639,1.224537524338598,0.03209953709731907,5,20.544,25.544,249,0,0.0,0.0,0.0,25.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,0,csma_ca_0000,900,899,899,899,0,0.1111111111111111,11.0,1.0,,1.0,True,False,True,0.8200497191886547,1.1937139995758497,0.015079644737231002,1.224537524338598,0.03209953709731907,5,20.544,25.544,234,1,1.0,-1.0,-2.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,1,csma_ca_0001,900,900,900,900,0,0.0,10.0,,,1.0,False,False,True,0.962449783939381,1.6813803882012586,0.025132741228718114,1.224537524338598,0.03209953709731907,5,20.544,25.544,201,0,0.0,0.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,2,csma_ca_0002,900,900,900,900,0,0.0,10.0,,,,False,False,False,1.3214795338060106,3.3036988345150258,0.005026548245743889,1.224537524338598,0.03209953709731907,5,20.544,25.544,265,0,0.0,0.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,3,csma_ca_0003,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,1.045019380290109,2.612548450725272,0.0791681348704627,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,4,csma_ca_0004,900,900,900,900,0,0.0,10.0,1.0,1.0,1.0,True,True,True,0.5378406622945724,1.1900352971798136,0.7527255998001143,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,5,csma_ca_0005,900,900,900,900,0,0.0,10.0,1.0,1.0,1.0,True,True,True,0.46244243860841766,0.6936636579126262,0.5629734035232912,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,6,csma_ca_0006,900,896,896,896,0,0.4444444444444444,15.0,,,,False,False,False,1.2958441377527181,2.2041414057585995,0.011309733552923085,1.224537524338598,0.03209953709731907,5,20.544,25.544,287,4,1.0,1.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,7,csma_ca_0007,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.831893734670577,2.0797343366764425,0.5441238476017523,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,8,csma_ca_0008,900,900,900,900,0,0.0,10.0,,1.0,,False,True,False,1.2938335184544205,2.932990901391431,0.05654866776461631,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,9,csma_ca_0009,900,900,900,900,0,0.0,10.0,1.0,1.0,1.0,True,True,True,0.49159641843373086,0.8230972752405252,0.433539786195392,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,10,csma_ca_0010,900,900,900,900,0,0.0,10.0,1.0,1.0,1.0,True,True,True,0.5494017232597831,1.1510795482753011,0.33677873246482637,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,11,csma_ca_0011,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,1.0867397307297817,2.716849326824453,0.03895574890451314,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,12,csma_ca_0012,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.8585344403730186,1.6725839287712063,0.11309733552923257,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,13,csma_ca_0013,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.6579751653678463,1.4564423542042284,0.5227610175573414,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,14,csma_ca_0014,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.7655432978267609,1.9138582445669023,0.35311501426349245,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,15,csma_ca_0015,900,900,900,900,0,0.0,10.0,1.0,1.0,1.0,True,True,True,0.6624990587890156,0.9650972631827841,0.5328141140488287,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,16,csma_ca_0016,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.7580034754581451,1.572052963856332,0.5252742916802138,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,17,csma_ca_0017,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.8409415215129158,1.2779998914803279,0.07916813487046337,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,18,csma_ca_0018,900,900,900,900,0,0.0,11.0,,1.0,1.0,False,True,True,0.8705981561628036,2.176495390407009,0.05403539364174481,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,1.0,-1.0,-2.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,19,csma_ca_0019,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.774088429844525,1.5921591568393076,0.34557519189487707,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,20,csma_ca_0020,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.8424494859866393,2.1061237149665986,0.047752208334565616,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,21,csma_ca_0021,900,900,900,900,0,0.0,10.0,1.0,1.0,1.0,True,True,True,0.6026831346646657,1.1736990153811462,0.2890265241302612,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,22,csma_ca_0022,900,900,900,900,0,0.0,10.0,1.0,1.0,1.0,True,True,True,0.386038905273114,0.5692565888304708,0.7652919704144734,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,23,csma_ca_0023,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.8570264758992957,2.1425661897482398,0.3292389100962103,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,24,csma_ca_0024,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.7429238307209144,1.6298582686823848,0.4737521721613409,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,25,csma_ca_0025,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.9922406237098004,1.8133272796520288,0.06283185307179551,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,26,csma_ca_0026,900,900,900,900,0,0.0,11.0,1.0,1.0,1.0,True,True,True,0.7876601101080329,1.0191326568245287,0.23750440461138833,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,1.0,-1.0,-2.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,27,csma_ca_0027,900,899,899,899,0,0.1111111111111111,10.0,,,1.0,False,False,True,1.2169273302945425,2.288336088874806,0.010053096491487779,1.224537524338598,0.03209953709731907,5,20.544,25.544,253,1,0.0,0.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,28,csma_ca_0028,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,1.2083821982767782,1.8811856809695686,0.1281769802664634,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,29,csma_ca_0029,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,1.1440423807312592,2.6339112807696834,0.0640884901332317,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,30,csma_ca_0030,900,900,900,900,0,0.0,10.0,,1.0,1.0,False,True,True,0.5840849061554144,1.4602122653885363,0.7087433026498573,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,31,csma_ca_0031,900,900,900,900,0,0.0,10.0,1.0,1.0,1.0,True,True,True,0.6499326881746562,1.2076282160399163,0.04900884539600092,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,50.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,32,csma_ca_0032,900,900,900,900,0,0.0,10.0,1.0,1.0,1.0,True,True,True,0.4709875706261813,1.0580884057290416,0.19854865570687563,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0.0,50.0,200.0,3
